movie_title,movie_info,critics_consensus,content_rating,genres,directors,actors,original_release_date,runtime,production_company,tomatometer_rating,tomatometer_count,audience_rating,audience_count,new_column
Percy Jackson & the Olympians: The Lightning Thief,"Always trouble-prone, the life of teenager Percy Jackson (Logan Lerman) gets a lot more complicated when he learns he's the son of the Greek god Poseidon. At a training ground for the children of deities, Percy learns to harness his divine powers and prepare for the adventure of a lifetime: he must prevent a feud among the Olympians from erupting into a devastating war on Earth, and rescue his mother from the clutches of Hades, god of the underworld.","Though it may seem like just another Harry Potter knockoff, Percy Jackson benefits from a strong supporting cast, a speedy plot, and plenty of fun with Greek mythology.",PG,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Chris Columbus,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Sean Bean, Pierce Brosnan, Steve Coogan, Rosario Dawson, Melina Kanakaredes, Catherine Keener, Kevin Mckidd, Joe Pantoliano, Uma Thurman, Ray Winstone, Julian Richings, Bonita Friedericy, Annie Ilonzeh, Tania Saulnier, Marie Avgeropoulos, Luisa D'Oliveira, Christie Laing, Marielle Jaffe, Elisa King, Chrystal Tisiga, Alexis Knapp, Charlie Gallant, Chelan Simmons, Andrea Brooks, Natassia Malthe, Max Van Ville, Serinda Swan, Dimitri Lekkos, Ona Grauer, Stefanie von Pfetten, Conrad Coates, Erica Cerra, Dylan Neal, Luke Camilleri, Holly Hougham, Ina Geraldine, Raquel Riskin, Yusleidis Oquendo, Janine Edwards, Valerie Tian, Violet Columbus, Sarah Smyth, Merritt Patterson, Julie Luck, Andrea Day, John Stewart, Suzanne Ristic, Deejay Jackson, Matthew Garrick, Stan Carp, Suzanna Ristic, Richard Harmon, Maria Olsen, Robin Lemon, Doyle Devereux, Tom Pickett, VJ Delos-Reyes, Tim Aas, Keith Dallas, Spencer Atkinson, Maya Washington, Loyd Bateman, Victor Ayala, Zane Holtz, Eli Zagoudakis, Matt Reimer, Rob Hayter, Lloyd Bateman, Shawn Beaton, Jarod Joseph, Reilly Dolman, Paul Cummings, Julie Brar, Dejan Loyola, Damian Arman, Mario Casoria, Dorla Bell, Carolyn Adair (II), Jade Pawluk, G. Patrick Currie, Darian Arman, Mariela Zapata, David L. Smith",2010-02-12,119.0,20th Century Fox,49.0,149.0,53.0,254421.0,"Percy Jackson & the Olympians: The Lightning ThiefAlways trouble-prone, the life of teenager Percy Jackson (Logan Lerman) gets a lot more complicated when he learns he's the son of the Greek god Poseidon. At a training ground for the children of deities, Percy learns to harness his divine powers and prepare for the adventure of a lifetime: he must prevent a feud among the Olympians from erupting into a devastating war on Earth, and rescue his mother from the clutches of Hades, god of the underworld.Though it may seem like just another Harry Potter knockoff, Percy Jackson benefits from a strong supporting cast, a speedy plot, and plenty of fun with Greek mythology.PGAction & Adventure, Comedy, Drama, Science Fiction & FantasyChris ColumbusLogan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Sean Bean, Pierce Brosnan, Steve Coogan, Rosario Dawson, Melina Kanakaredes, Catherine Keener, Kevin Mckidd, Joe Pantoliano, Uma Thurman, Ray Winstone, Julian Richings, Bonita Friedericy, Annie Ilonzeh, Tania Saulnier, Marie Avgeropoulos, Luisa D'Oliveira, Christie Laing, Marielle Jaffe, Elisa King, Chrystal Tisiga, Alexis Knapp, Charlie Gallant, Chelan Simmons, Andrea Brooks, Natassia Malthe, Max Van Ville, Serinda Swan, Dimitri Lekkos, Ona Grauer, Stefanie von Pfetten, Conrad Coates, Erica Cerra, Dylan Neal, Luke Camilleri, Holly Hougham, Ina Geraldine, Raquel Riskin, Yusleidis Oquendo, Janine Edwards, Valerie Tian, Violet Columbus, Sarah Smyth, Merritt Patterson, Julie Luck, Andrea Day, John Stewart, Suzanne Ristic, Deejay Jackson, Matthew Garrick, Stan Carp, Suzanna Ristic, Richard Harmon, Maria Olsen, Robin Lemon, Doyle Devereux, Tom Pickett, VJ Delos-Reyes, Tim Aas, Keith Dallas, Spencer Atkinson, Maya Washington, Loyd Bateman, Victor Ayala, Zane Holtz, Eli Zagoudakis, Matt Reimer, Rob Hayter, Lloyd Bateman, Shawn Beaton, Jarod Joseph, Reilly Dolman, Paul Cummings, Julie Brar, Dejan Loyola, Damian Arman, Mario Casoria, Dorla Bell, Carolyn Adair (II), Jade Pawluk, G. Patrick Currie, Darian Arman, Mariela Zapata, David L. Smith2010-02-120        119.0
1         90.0
2        122.0
3         95.0
4        127.0
         ...  
17707    104.0
17708    108.0
17709    142.0
17710    135.0
17711    121.0
Name: runtime, Length: 17712, dtype: object20th Century Fox0         49.0
1         87.0
2         67.0
3        100.0
4         89.0
         ...  
17707     56.0
17708     98.0
17709     80.0
17710     96.0
17711     50.0
Name: tomatometer_rating, Length: 17712, dtype: object0        149.0
1        142.0
2         24.0
3         54.0
4         27.0
         ...  
17707      9.0
17708    291.0
17709     10.0
17710     23.0
17711      8.0
Name: tomatometer_count, Length: 17712, dtype: object0        53.0
1        64.0
2        53.0
3        97.0
4        74.0
         ... 
17707    74.0
17708    92.0
17709    86.0
17710    91.0
17711    62.0
Name: audience_rating, Length: 17712, dtype: object0        254421.0
1         11574.0
2         14684.0
3        105386.0
4         68918.0
           ...   
17707      1195.0
17708    101511.0
17709      7146.0
17710     30193.0
17711      4469.0
Name: audience_count, Length: 17712, dtype: object"
Please Give,"Kate (Catherine Keener) and her husband Alex (Oliver Platt) are wealthy New Yorkers who prowl estate sales and make a tidy profit reselling items they bought cheaply. They buy the apartment next door and plan to remodel just as soon as its current occupant, a cranky old woman, dies. Kate is troubled by the way she and her husband earn a living, and tries to assuage her guilt by befriending her tenant and the woman's granddaughters, but her overtures lead to unexpected consequences.","Nicole Holofcener's newest might seem slight in places, but its rendering of complex characters in a conflicted economic landscape is varied, natural, and touching all the same.",R,Comedy,Nicole Holofcener,"Catherine Keener, Amanda Peet, Oliver Platt, Rebecca Hall, Sarah Steele, Ann Morgan Guilbert, Kevin Corrigan, Lois Smith",2010-04-30,90.0,Sony Pictures Classics,87.0,142.0,64.0,11574.0,"Please GiveKate (Catherine Keener) and her husband Alex (Oliver Platt) are wealthy New Yorkers who prowl estate sales and make a tidy profit reselling items they bought cheaply. They buy the apartment next door and plan to remodel just as soon as its current occupant, a cranky old woman, dies. Kate is troubled by the way she and her husband earn a living, and tries to assuage her guilt by befriending her tenant and the woman's granddaughters, but her overtures lead to unexpected consequences.Nicole Holofcener's newest might seem slight in places, but its rendering of complex characters in a conflicted economic landscape is varied, natural, and touching all the same.RComedyNicole HolofcenerCatherine Keener, Amanda Peet, Oliver Platt, Rebecca Hall, Sarah Steele, Ann Morgan Guilbert, Kevin Corrigan, Lois Smith2010-04-300        119.0
1         90.0
2        122.0
3         95.0
4        127.0
         ...  
17707    104.0
17708    108.0
17709    142.0
17710    135.0
17711    121.0
Name: runtime, Length: 17712, dtype: objectSony Pictures Classics0         49.0
1         87.0
2         67.0
3        100.0
4         89.0
         ...  
17707     56.0
17708     98.0
17709     80.0
17710     96.0
17711     50.0
Name: tomatometer_rating, Length: 17712, dtype: object0        149.0
1        142.0
2         24.0
3         54.0
4         27.0
         ...  
17707      9.0
17708    291.0
17709     10.0
17710     23.0
17711      8.0
Name: tomatometer_count, Length: 17712, dtype: object0        53.0
1        64.0
2        53.0
3        97.0
4        74.0
         ... 
17707    74.0
17708    92.0
17709    86.0
17710    91.0
17711    62.0
Name: audience_rating, Length: 17712, dtype: object0        254421.0
1         11574.0
2         14684.0
3        105386.0
4         68918.0
           ...   
17707      1195.0
17708    101511.0
17709      7146.0
17710     30193.0
17711      4469.0
Name: audience_count, Length: 17712, dtype: object"
10,"A successful, middle-aged Hollywood songwriter falls hopelessly in love with the woman of his dreams, and even follows the girl and her new husband to their Mexican honeymoon resort. While his behavior seems sure to land him in trouble, out of the blue fate plays into his hands.","Blake Edwards' bawdy comedy may not score a perfect 10, but Dudley Moore's self-deprecating performance makes this midlife crisis persistently funny.",R,"Comedy, Romance",Blake Edwards,"Dudley Moore, Bo Derek, Julie Andrews, Robert Webber, Dee Wallace, Sam Jones III, Sam J. Jones, Brian Dennehy, Max Showalter, Rad Daly, Nedra Volz, James Noble, Virginia Kiser, John Hawker, Deborah Rush, Don Calfa, Walter George Alton, Annette Martin, John Hancock, Lorry Goldman, Arthur Rosenberg, Mari Gorman, Marcy Hanson, Julia Jennings, Senilo Tanney, Kitty DeCarlo, William Lucking, Owen Sullivan, Debbie White, Laurence Carr, Camila Ashland, Adrian Aron, Gail Bowman, Burke Byrnes, Michael Champion, Doug Sheehan, J. Victor Lopez, Gregory Chase, Jon Linton, Ellen Clark, Antonia Ellis, John Chappell, Lynn Farrell, Art Kassul, Denise Crosby, Jeanetta Arnette",1979-10-05,122.0,Waner Bros.,67.0,24.0,53.0,14684.0,"10A successful, middle-aged Hollywood songwriter falls hopelessly in love with the woman of his dreams, and even follows the girl and her new husband to their Mexican honeymoon resort. While his behavior seems sure to land him in trouble, out of the blue fate plays into his hands.Blake Edwards' bawdy comedy may not score a perfect 10, but Dudley Moore's self-deprecating performance makes this midlife crisis persistently funny.RComedy, RomanceBlake EdwardsDudley Moore, Bo Derek, Julie Andrews, Robert Webber, Dee Wallace, Sam Jones III, Sam J. Jones, Brian Dennehy, Max Showalter, Rad Daly, Nedra Volz, James Noble, Virginia Kiser, John Hawker, Deborah Rush, Don Calfa, Walter George Alton, Annette Martin, John Hancock, Lorry Goldman, Arthur Rosenberg, Mari Gorman, Marcy Hanson, Julia Jennings, Senilo Tanney, Kitty DeCarlo, William Lucking, Owen Sullivan, Debbie White, Laurence Carr, Camila Ashland, Adrian Aron, Gail Bowman, Burke Byrnes, Michael Champion, Doug Sheehan, J. Victor Lopez, Gregory Chase, Jon Linton, Ellen Clark, Antonia Ellis, John Chappell, Lynn Farrell, Art Kassul, Denise Crosby, Jeanetta Arnette1979-10-050        119.0
1         90.0
2        122.0
3         95.0
4        127.0
         ...  
17707    104.0
17708    108.0
17709    142.0
17710    135.0
17711    121.0
Name: runtime, Length: 17712, dtype: objectWaner Bros.0         49.0
1         87.0
2         67.0
3        100.0
4         89.0
         ...  
17707     56.0
17708     98.0
17709     80.0
17710     96.0
17711     50.0
Name: tomatometer_rating, Length: 17712, dtype: object0        149.0
1        142.0
2         24.0
3         54.0
4         27.0
         ...  
17707      9.0
17708    291.0
17709     10.0
17710     23.0
17711      8.0
Name: tomatometer_count, Length: 17712, dtype: object0        53.0
1        64.0
2        53.0
3        97.0
4        74.0
         ... 
17707    74.0
17708    92.0
17709    86.0
17710    91.0
17711    62.0
Name: audience_rating, Length: 17712, dtype: object0        254421.0
1         11574.0
2         14684.0
3        105386.0
4         68918.0
           ...   
17707      1195.0
17708    101511.0
17709      7146.0
17710     30193.0
17711      4469.0
Name: audience_count, Length: 17712, dtype: object"
12 Angry Men (Twelve Angry Men),"Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict meaning death for the accused, an inner-city teen. As the dozen men try to reach a unanimous decision while sequestered in a room, one juror (Henry Fonda) casts considerable doubt on elements of the case. Personal issues soon rise to the surface, and conflict threatens to derail the delicate process that will decide one boy's fate.","Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.",NR,"Classics, Drama",Sidney Lumet,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley Sr., George Voskovec, Robert Webber, Rudy Bond, James A. Kelly, Billy Nelson, John Savoca",1957-04-13,95.0,Criterion Collection,100.0,54.0,97.0,105386.0,"12 Angry Men (Twelve Angry Men)Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict meaning death for the accused, an inner-city teen. As the dozen men try to reach a unanimous decision while sequestered in a room, one juror (Henry Fonda) casts considerable doubt on elements of the case. Personal issues soon rise to the surface, and conflict threatens to derail the delicate process that will decide one boy's fate.Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.NRClassics, DramaSidney LumetMartin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley Sr., George Voskovec, Robert Webber, Rudy Bond, James A. Kelly, Billy Nelson, John Savoca1957-04-130        119.0
1         90.0
2        122.0
3         95.0
4        127.0
         ...  
17707    104.0
17708    108.0
17709    142.0
17710    135.0
17711    121.0
Name: runtime, Length: 17712, dtype: objectCriterion Collection0         49.0
1         87.0
2         67.0
3        100.0
4         89.0
         ...  
17707     56.0
17708     98.0
17709     80.0
17710     96.0
17711     50.0
Name: tomatometer_rating, Length: 17712, dtype: object0        149.0
1        142.0
2         24.0
3         54.0
4         27.0
         ...  
17707      9.0
17708    291.0
17709     10.0
17710     23.0
17711      8.0
Name: tomatometer_count, Length: 17712, dtype: object0        53.0
1        64.0
2        53.0
3        97.0
4        74.0
         ... 
17707    74.0
17708    92.0
17709    86.0
17710    91.0
17711    62.0
Name: audience_rating, Length: 17712, dtype: object0        254421.0
1         11574.0
2         14684.0
3        105386.0
4         68918.0
           ...   
17707      1195.0
17708    101511.0
17709      7146.0
17710     30193.0
17711      4469.0
Name: audience_count, Length: 17712, dtype: object"
"20,000 Leagues Under The Sea","In 1866, Professor Pierre M. Aronnax (Paul Lukas) and his assistant Conseil (Peter Lorre), stranded in San Francisco by reports of a giant sea monster attacking ships in the Pacific Ocean, are invited to join an expedition to search for the creature. During the search, they and harpooner Ned Land (Kirk Douglas) are thrown overboard during an attack, eventually discovering that the supposed monster is actually a submarine piloted by the brilliant but haunted Captain Nemo (James Mason).","One of Disney's finest live-action adventures, 20,000 Leagues Under the Sea brings Jules Verne's classic sci-fi tale to vivid life, and features an awesome giant squid.",G,"Action & Adventure, Drama, Kids & Family",Richard Fleischer,"James Mason, Kirk Douglas, Paul Lukas, Peter Lorre, Robert J. Wilke, Carleton Young, Bob Wilke, Ted de Corsia, Percy Helton, Ted Cooper, Eddie Marr, Fred Graham, Esmeralda, J.M. Kerrigan, Harry Harvey, Herb Vigran",1954-01-01,127.0,Disney,89.0,27.0,74.0,68918.0,"20,000 Leagues Under The SeaIn 1866, Professor Pierre M. Aronnax (Paul Lukas) and his assistant Conseil (Peter Lorre), stranded in San Francisco by reports of a giant sea monster attacking ships in the Pacific Ocean, are invited to join an expedition to search for the creature. During the search, they and harpooner Ned Land (Kirk Douglas) are thrown overboard during an attack, eventually discovering that the supposed monster is actually a submarine piloted by the brilliant but haunted Captain Nemo (James Mason).One of Disney's finest live-action adventures, 20,000 Leagues Under the Sea brings Jules Verne's classic sci-fi tale to vivid life, and features an awesome giant squid.GAction & Adventure, Drama, Kids & FamilyRichard FleischerJames Mason, Kirk Douglas, Paul Lukas, Peter Lorre, Robert J. Wilke, Carleton Young, Bob Wilke, Ted de Corsia, Percy Helton, Ted Cooper, Eddie Marr, Fred Graham, Esmeralda, J.M. Kerrigan, Harry Harvey, Herb Vigran1954-01-010        119.0
1         90.0
2        122.0
3         95.0
4        127.0
         ...  
17707    104.0
17708    108.0
17709    142.0
17710    135.0
17711    121.0
Name: runtime, Length: 17712, dtype: objectDisney0         49.0
1         87.0
2         67.0
3        100.0
4         89.0
         ...  
17707     56.0
17708     98.0
17709     80.0
17710     96.0
17711     50.0
Name: tomatometer_rating, Length: 17712, dtype: object0        149.0
1        142.0
2         24.0
3         54.0
4         27.0
         ...  
17707      9.0
17708    291.0
17709     10.0
17710     23.0
17711      8.0
Name: tomatometer_count, Length: 17712, dtype: object0        53.0
1        64.0
2        53.0
3        97.0
4        74.0
         ... 
17707    74.0
17708    92.0
17709    86.0
17710    91.0
17711    62.0
Name: audience_rating, Length: 17712, dtype: object0        254421.0
1         11574.0
2         14684.0
3        105386.0
4         68918.0
           ...   
17707      1195.0
17708    101511.0
17709      7146.0
17710     30193.0
17711      4469.0
Name: audience_count, Length: 17712, dtype: object"
"10,000 B.C.","Mammoth hunter D'Leh (Steven Strait) has long been in love with a beautiful, blue-eyed tribeswoman named Evolet (Camilla Belle). After horseback-riding raiders kidnap most of his D'Leh's fellow tribesmen as well as Evolet, he sets out on a dangerous trek to rescue her from her captors.","With attention strictly paid to style instead of substance, or historical accuracy, 10,000 B.C. is a visually impressive but narratively flimsy epic.",PG-13,"Action & Adventure, Classics, Drama",Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zainal, Nathanael Baring, Marco Khan, Reece Ritchie, Joel Fry, Junior Oliphant, Louise Tu'u, David Dennis, Kristian Beazley, Mona Hammond, Jacob Renton, Grayson Hunt Urwin, Fahruq Valley-Omar, Boubacar Badaine, Joe Vaz, Charles Baloyi, Tim Barlow, Gabriel Malema, Mark Simmons, Hannah Westbury, Affif Ben Badra, Mo Zinal, Omar Sharif, Farouk Valley-Omar",2008-03-07,109.0,Warner Bros. Pictures,8.0,149.0,37.0,411140.0,"10,000 B.C.Mammoth hunter D'Leh (Steven Strait) has long been in love with a beautiful, blue-eyed tribeswoman named Evolet (Camilla Belle). After horseback-riding raiders kidnap most of his D'Leh's fellow tribesmen as well as Evolet, he sets out on a dangerous trek to rescue her from her captors.With attention strictly paid to style instead of substance, or historical accuracy, 10,000 B.C. is a visually impressive but narratively flimsy epic.PG-13Action & Adventure, Classics, DramaRoland EmmerichSteven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zainal, Nathanael Baring, Marco Khan, Reece Ritchie, Joel Fry, Junior Oliphant, Louise Tu'u, David Dennis, Kristian Beazley, Mona Hammond, Jacob Renton, Grayson Hunt Urwin, Fahruq Valley-Omar, Boubacar Badaine, Joe Vaz, Charles Baloyi, Tim Barlow, Gabriel Malema, Mark Simmons, Hannah Westbury, Affif Ben Badra, Mo Zinal, Omar Sharif, Farouk Valley-Omar2008-03-070        119.0
1         90.0
2        122.0
3         95.0
4        127.0
         ...  
17707    104.0
17708    108.0
17709    142.0
17710    135.0
17711    121.0
Name: runtime, Length: 17712, dtype: objectWarner Bros. Pictures0         49.0
1         87.0
2         67.0
3        100.0
4         89.0
         ...  
17707     56.0
17708     98.0
17709     80.0
17710     96.0
17711     50.0
Name: tomatometer_rating, Length: 17712, dtype: object0        149.0
1        142.0
2         24.0
3         54.0
4         27.0
         ...  
17707      9.0
17708    291.0
17709     10.0
17710     23.0
17711      8.0
Name: tomatometer_count, Length: 17712, dtype: object0        53.0
1        64.0
2        53.0
3        97.0
4        74.0
         ... 
17707    74.0
17708    92.0
17709    86.0
17710    91.0
17711    62.0
Name: audience_rating, Length: 17712, dtype: object0        254421.0
1         11574.0
2         14684.0
3        105386.0
4         68918.0
           ...   
17707      1195.0
17708    101511.0
17709      7146.0
17710     30193.0
17711      4469.0
Name: audience_count, Length: 17712, dtype: object"
The 39 Steps,"While on vacation in London, Canadian Richard Hannay (Robert Donat) becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith (Lucie Mannheim), who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan (Godfrey Tearle) from sending secrets out of the country. Hannay is assisted by Pamela (Madeleine Carroll), an unwilling accomplice who discovers the truth.","Packed with twists and turns, this essential early Alfred Hitchcock feature hints at the dazzling heights he'd reach later in his career.",NR,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,"Robert Donat, Madeleine Carroll, Godfrey Tearle, Lucie Mannheim, Peggy Ashcroft, John Laurie, Helen Haye, Wylie Watson, Frank Cellier, Peggy Simpson, Gus McNaughton, Jerry Verno, Miles Malleson, Marianne Stone",1935-08-01,80.0,Gaumont British Distributors,96.0,51.0,86.0,23890.0,"The 39 StepsWhile on vacation in London, Canadian Richard Hannay (Robert Donat) becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith (Lucie Mannheim), who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan (Godfrey Tearle) from sending secrets out of the country. Hannay is assisted by Pamela (Madeleine Carroll), an unwilling accomplice who discovers the truth.Packed with twists and turns, this essential early Alfred Hitchcock feature hints at the dazzling heights he'd reach later in his career.NRAction & Adventure, Classics, Mystery & SuspenseAlfred HitchcockRobert Donat, Madeleine Carroll, Godfrey Tearle, Lucie Mannheim, Peggy Ashcroft, John Laurie, Helen Haye, Wylie Watson, Frank Cellier, Peggy Simpson, Gus McNaughton, Jerry Verno, Miles Malleson, Marianne Stone1935-08-010        119.0
1         90.0
2        122.0
3         95.0
4        127.0
         ...  
17707    104.0
17708    108.0
17709    142.0
17710    135.0
17711    121.0
Name: runtime, Length: 17712, dtype: objectGaumont British Distributors0         49.0
1         87.0
2         67.0
3        100.0
4         89.0
         ...  
17707     56.0
17708     98.0
17709     80.0
17710     96.0
17711     50.0
Name: tomatometer_rating, Length: 17712, dtype: object0        149.0
1        142.0
2         24.0
3         54.0
4         27.0
         ...  
17707      9.0
17708    291.0
17709     10.0
17710     23.0
17711      8.0
Name: tomatometer_count, Length: 17712, dtype: object0        53.0
1        64.0
2        53.0
3        97.0
4        74.0
         ... 
17707    74.0
17708    92.0
17709    86.0
17710    91.0
17711    62.0
Name: audience_rating, Length: 17712, dtype: object0        254421.0
1         11574.0
2         14684.0
3        105386.0
4         68918.0
           ...   
17707      1195.0
17708    101511.0
17709      7146.0
17710     30193.0
17711      4469.0
Name: audience_count, Length: 17712, dtype: object"
3:10 to Yuma,"Dan Evans (Van Heflin), a drought-plagued Arizona rancher, volunteers to take captured stagecoach robber and murderer Ben Wade (Glenn Ford) from Bisbee to Contention City, where the criminal will be put aboard the 3:10 train to Yuma for his trial. Accompanied only by the town drunk, Alex Potter (Henry Jones), Dan battles Wade's henchman (Richard Jaeckel), the murder victim's revenge-minded brother, and the temptation of the large bribe Wade offers in exchange for his freedom.",,NR,"Classics, Drama, Western",Delmer Daves,"Glenn Ford, Van Heflin, Felicia Farr, Leora Dana, Henry Jones, Richard Jaeckel, Robert Emhardt, Sheridan Comerate, George Mitchell, Robert Ellenstein, Ford Rainey, Barry Curtis, Jerry Hartleben, Woodrow Chambliss",1957-08-07,92.0,Columbia Pictures,96.0,28.0,79.0,9243.0,"3:10 to YumaDan Evans (Van Heflin), a drought-plagued Arizona rancher, volunteers to take captured stagecoach robber and murderer Ben Wade (Glenn Ford) from Bisbee to Contention City, where the criminal will be put aboard the 3:10 train to Yuma for his trial. Accompanied only by the town drunk, Alex Potter (Henry Jones), Dan battles Wade's henchman (Richard Jaeckel), the murder victim's revenge-minded brother, and the temptation of the large bribe Wade offers in exchange for his freedom.NRClassics, Drama, WesternDelmer DavesGlenn Ford, Van Heflin, Felicia Farr, Leora Dana, Henry Jones, Richard Jaeckel, Robert Emhardt, Sheridan Comerate, George Mitchell, Robert Ellenstein, Ford Rainey, Barry Curtis, Jerry Hartleben, Woodrow Chambliss1957-08-070        119.0
1         90.0
2        122.0
3         95.0
4        127.0
         ...  
17707    104.0
17708    108.0
17709    142.0
17710    135.0
17711    121.0
Name: runtime, Length: 17712, dtype: objectColumbia Pictures0         49.0
1         87.0
2         67.0
3        100.0
4         89.0
         ...  
17707     56.0
17708     98.0
17709     80.0
17710     96.0
17711     50.0
Name: tomatometer_rating, Length: 17712, dtype: object0        149.0
1        142.0
2         24.0
3         54.0
4         27.0
         ...  
17707      9.0
17708    291.0
17709     10.0
17710     23.0
17711      8.0
Name: tomatometer_count, Length: 17712, dtype: object0        53.0
1        64.0
2        53.0
3        97.0
4        74.0
         ... 
17707    74.0
17708    92.0
17709    86.0
17710    91.0
17711    62.0
Name: audience_rating, Length: 17712, dtype: object0        254421.0
1         11574.0
2         14684.0
3        105386.0
4         68918.0
           ...   
17707      1195.0
17708    101511.0
17709      7146.0
17710     30193.0
17711      4469.0
Name: audience_count, Length: 17712, dtype: object"
Charly (A Heartbeat Away),"Cultural differences, past loves and personal crises threaten the emerging romance between a free spirit (Heather Beers) and her conventional beau (Jeremy Elliott).",,PG,"Comedy, Drama, Romance",Adam Thomas Anderegg,"Heather Beers, Gary Neilson, Lisa McCammon, Jackie Winterrose-Fullerup, Jeremy Elliott, Randy King",2002-09-27,103.0,Excel Entertainment,20.0,10.0,87.0,4819.0,"Charly (A Heartbeat Away)Cultural differences, past loves and personal crises threaten the emerging romance between a free spirit (Heather Beers) and her conventional beau (Jeremy Elliott).PGComedy, Drama, RomanceAdam Thomas AndereggHeather Beers, Gary Neilson, Lisa McCammon, Jackie Winterrose-Fullerup, Jeremy Elliott, Randy King2002-09-270        119.0
1         90.0
2        122.0
3         95.0
4        127.0
         ...  
17707    104.0
17708    108.0
17709    142.0
17710    135.0
17711    121.0
Name: runtime, Length: 17712, dtype: objectExcel Entertainment0         49.0
1         87.0
2         67.0
3        100.0
4         89.0
         ...  
17707     56.0
17708     98.0
17709     80.0
17710     96.0
17711     50.0
Name: tomatometer_rating, Length: 17712, dtype: object0        149.0
1        142.0
2         24.0
3         54.0
4         27.0
         ...  
17707      9.0
17708    291.0
17709     10.0
17710     23.0
17711      8.0
Name: tomatometer_count, Length: 17712, dtype: object0        53.0
1        64.0
2        53.0
3        97.0
4        74.0
         ... 
17707    74.0
17708    92.0
17709    86.0
17710    91.0
17711    62.0
Name: audience_rating, Length: 17712, dtype: object0        254421.0
1         11574.0
2         14684.0
3        105386.0
4         68918.0
           ...   
17707      1195.0
17708    101511.0
17709      7146.0
17710     30193.0
17711      4469.0
Name: audience_count, Length: 17712, dtype: object"
